date,close
1980-01-01,1000
1981-01-01,2052.61
1982-01-01,3024.68
1983-01-01,4660.91
1984-01-01,6122.73
1985-01-01,7566.04
1986-01-01,9870.43
1987-01-01,13029.3
1988-01-01,13623.6
1989-01-01,16057
1990-01-01,18532.8
1991-01-01,20699.7
1992-01-01,24817
1993-01-01,27465.3
1994-01-01,32838.5
1995-01-01,32484.1
1996-01-01,41721.6
1997-01-01,48819.3
1998-01-01,56003
1999-01-01,64401.3
2000-01-01,71536.2
2001-01-01,75140.2
2002-01-01,73958.7
2003-01-01,69439.7
2004-01-01,82486.2
2005-01-01,84958.1
2006-01-01,88373.3
2007-01-01,98825.9
2008-01-01,101337
2009-01-01,78713.8
2010-01-01,95332.1
2011-01-01,107794
2012-01-01,116247
2013-01-01,125146
2014-01-01,134858
